#ies_format_version: 1.0
#file: 20250801_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250801;	155533;	1754043933.000;	       err32;	 err32
20250801;	155536;	1754043936.000;	       err32;	 err32
20250801;	155539;	1754043939.000;	       err32;	 err32
20250801;	155542;	1754043942.000;	       err32;	 err32
20250801;	155545;	1754043945.000;	       err32;	 err32
20250801;	155548;	1754043948.000;	       err32;	 err32
20250801;	155551;	1754043951.000;	       err32;	 err32
20250801;	155554;	1754043954.000;	       err32;	 err32
20250801;	155557;	1754043957.000;	       err32;	 err32
20250801;	155600;	1754043960.000;	       err32;	 err32
20250801;	155603;	1754043963.000;	       err32;	 err32
20250801;	155606;	1754043966.000;	       err32;	 err32
20250801;	155609;	1754043969.000;	       err32;	 err32
20250801;	155612;	1754043972.000;	       err32;	 err32
20250801;	155615;	1754043975.000;	       err32;	 err32
20250801;	155618;	1754043978.000;	       err32;	 err32
20250801;	155621;	1754043981.000;	       err32;	 err32
20250801;	155624;	1754043984.000;	       err32;	 err32
20250801;	155627;	1754043987.000;	       err32;	 err32
20250801;	155630;	1754043990.000;	       err32;	 err32
20250801;	155633;	1754043993.000;	       err32;	 err32
20250801;	155636;	1754043996.000;	       err32;	 err32
20250801;	155639;	1754043999.000;	       err32;	 err32
20250801;	155642;	1754044002.000;	       err32;	 err32
20250801;	155645;	1754044005.000;	       err32;	 err32
20250801;	155648;	1754044008.000;	       err32;	 err32
20250801;	155651;	1754044011.000;	       err32;	 err32
20250801;	155654;	1754044014.000;	       err32;	 err32
20250801;	155657;	1754044017.000;	       err32;	 err32
20250801;	155700;	1754044020.000;	       err32;	 err32
20250801;	155703;	1754044023.000;	       err32;	 err32
20250801;	155706;	1754044026.000;	       err32;	 err32
20250801;	155709;	1754044029.000;	       err32;	 err32
20250801;	155712;	1754044032.000;	       err32;	 err32
20250801;	155715;	1754044035.000;	       err32;	 err32
20250801;	155718;	1754044038.000;	       err32;	 err32
20250801;	155721;	1754044041.000;	       err32;	 err32
20250801;	155724;	1754044044.000;	       err32;	 err32
20250801;	155727;	1754044047.000;	       err32;	 err32
20250801;	155730;	1754044050.000;	       err32;	 err32
20250801;	155733;	1754044053.000;	       err32;	 err32
20250801;	155736;	1754044056.000;	       err32;	 err32
20250801;	155739;	1754044059.000;	       err32;	 err32
20250801;	155742;	1754044062.000;	       err32;	 err32
20250801;	155745;	1754044065.000;	       err32;	 err32
20250801;	155748;	1754044068.000;	       err32;	 err32
20250801;	155751;	1754044071.000;	       err32;	 err32
20250801;	155754;	1754044074.000;	       err32;	 err32
20250801;	155757;	1754044077.000;	       err32;	 err32
20250801;	155800;	1754044080.000;	       err32;	 err32
20250801;	155803;	1754044083.000;	       err32;	 err32
20250801;	155806;	1754044086.000;	       err32;	 err32
20250801;	155809;	1754044089.000;	       err32;	 err32
20250801;	155812;	1754044092.000;	       err32;	 err32
20250801;	155815;	1754044095.000;	       err32;	 err32
20250801;	155818;	1754044098.000;	       err32;	 err32
20250801;	155821;	1754044101.000;	       err32;	 err32
20250801;	155824;	1754044104.000;	       err32;	 err32
20250801;	155827;	1754044107.000;	       err32;	 err32
20250801;	155830;	1754044110.000;	       err32;	 err32
20250801;	155833;	1754044113.000;	       err32;	 err32
20250801;	155836;	1754044116.000;	       err32;	 err32
20250801;	155839;	1754044119.000;	       err32;	 err32
20250801;	155842;	1754044122.000;	       err32;	 err32
20250801;	155845;	1754044125.000;	       err32;	 err32
20250801;	155848;	1754044128.000;	       err32;	 err32
20250801;	155851;	1754044131.000;	       err32;	 err32
20250801;	155854;	1754044134.000;	       err32;	 err32
20250801;	155857;	1754044137.000;	       err32;	 err32
20250801;	155900;	1754044140.000;	       err32;	 err32
20250801;	155903;	1754044143.000;	       err32;	 err32
20250801;	155906;	1754044146.000;	       err32;	 err32
20250801;	155909;	1754044149.000;	       err32;	 err32
20250801;	155912;	1754044152.000;	       err32;	 err32
20250801;	155915;	1754044155.000;	       err32;	 err32
20250801;	155918;	1754044158.000;	       err32;	 err32
20250801;	155921;	1754044161.000;	       err32;	 err32
20250801;	155924;	1754044164.000;	       err32;	 err32
20250801;	155927;	1754044167.000;	       err32;	 err32
20250801;	155930;	1754044170.000;	       err32;	 err32
20250801;	155933;	1754044173.000;	       err32;	 err32
20250801;	155936;	1754044176.000;	       err32;	 err32
20250801;	155939;	1754044179.000;	       err32;	 err32
20250801;	155942;	1754044182.000;	       err32;	 err32
20250801;	155945;	1754044185.000;	       err32;	 err32
20250801;	155948;	1754044188.000;	       err32;	 err32
20250801;	155951;	1754044191.000;	       err32;	 err32
20250801;	155954;	1754044194.000;	       err32;	 err32
20250801;	155957;	1754044197.000;	       err32;	 err32
20250801;	160000;	1754044200.000;	       err32;	 err32
20250801;	160003;	1754044203.000;	       err32;	 err32
20250801;	160006;	1754044206.000;	       err32;	 err32
20250801;	160009;	1754044209.000;	        err7;	  err7
20250801;	160012;	1754044212.000;	           4;	     0
20250801;	160015;	1754044215.000;	           4;	     0
20250801;	160018;	1754044218.000;	           4;	     0
20250801;	160021;	1754044221.000;	           4;	     0
20250801;	160024;	1754044224.000;	           4;	     0
20250801;	160027;	1754044227.000;	           4;	     0
20250801;	160030;	1754044230.000;	           4;	     0
20250801;	160033;	1754044233.000;	           4;	     0
20250801;	160036;	1754044236.000;	           4;	     0
20250801;	160039;	1754044239.000;	           4;	     0
20250801;	160042;	1754044242.000;	           4;	     0
20250801;	160045;	1754044245.000;	           4;	     0
20250801;	160048;	1754044248.000;	           4;	     0
20250801;	160051;	1754044251.000;	           4;	     0
20250801;	160054;	1754044254.000;	           5;	     0
20250801;	160057;	1754044257.000;	           5;	     0
20250801;	160100;	1754044260.000;	           5;	     0
20250801;	160103;	1754044263.000;	           5;	     1
20250801;	160106;	1754044266.000;	           5;	     1
20250801;	160109;	1754044269.000;	           5;	     1
20250801;	160112;	1754044272.000;	           5;	     1
20250801;	160115;	1754044275.000;	           5;	     1
20250801;	160118;	1754044278.000;	           5;	     1
20250801;	160121;	1754044281.000;	           5;	     1
20250801;	160124;	1754044284.000;	           5;	     1
20250801;	160127;	1754044287.000;	           5;	     1
20250801;	160130;	1754044290.000;	           5;	     1
20250801;	160133;	1754044293.000;	           5;	     1
20250801;	160136;	1754044296.000;	           5;	     1
20250801;	160139;	1754044299.000;	           5;	     1
20250801;	160142;	1754044302.000;	           5;	     1
20250801;	160145;	1754044305.000;	           5;	     1
20250801;	160148;	1754044308.000;	           5;	     1
20250801;	160151;	1754044311.000;	           5;	     1
20250801;	160154;	1754044314.000;	           5;	     1
20250801;	160157;	1754044317.000;	           5;	     1
20250801;	160200;	1754044320.000;	           5;	     1
20250801;	160203;	1754044323.000;	           5;	     1
20250801;	160206;	1754044326.000;	           5;	     1
20250801;	160209;	1754044329.000;	           5;	     1
20250801;	160212;	1754044332.000;	           5;	     1
20250801;	160215;	1754044335.000;	           5;	     1
20250801;	160218;	1754044338.000;	           5;	     1
20250801;	160221;	1754044341.000;	           5;	     1
20250801;	160224;	1754044344.000;	           5;	     1
20250801;	160227;	1754044347.000;	           5;	     1
20250801;	160230;	1754044350.000;	           5;	     1
20250801;	160233;	1754044353.000;	           5;	     1
20250801;	160236;	1754044356.000;	           5;	     1
20250801;	160239;	1754044359.000;	           5;	     1
20250801;	160242;	1754044362.000;	           5;	     1
20250801;	160245;	1754044365.000;	           5;	     1
20250801;	160248;	1754044368.000;	           5;	     1
20250801;	160251;	1754044371.000;	           5;	     1
20250801;	160254;	1754044374.000;	           5;	     1
20250801;	160257;	1754044377.000;	           5;	     1
20250801;	160300;	1754044380.000;	           5;	     1
20250801;	160303;	1754044383.000;	           5;	     1
20250801;	160306;	1754044386.000;	           5;	     1
20250801;	160309;	1754044389.000;	           5;	     1
20250801;	160312;	1754044392.000;	           5;	     1
20250801;	160315;	1754044395.000;	           5;	     1
20250801;	160318;	1754044398.000;	           5;	     1
20250801;	160321;	1754044401.000;	           5;	     1
20250801;	160324;	1754044404.000;	           5;	     1
20250801;	160327;	1754044407.000;	           5;	     1
20250801;	160330;	1754044410.000;	           5;	     1
20250801;	160333;	1754044413.000;	           5;	     1
20250801;	160336;	1754044416.000;	           5;	     1
20250801;	160339;	1754044419.000;	           5;	     1
20250801;	160342;	1754044422.000;	           5;	     1
20250801;	160345;	1754044425.000;	           5;	     1
20250801;	160348;	1754044428.000;	           5;	     1
20250801;	160351;	1754044431.000;	           5;	     1
20250801;	160354;	1754044434.000;	           5;	     1
20250801;	160357;	1754044437.000;	           5;	     1
20250801;	160400;	1754044440.000;	           5;	     1
20250801;	160403;	1754044443.000;	           5;	     1
20250801;	160406;	1754044446.000;	           5;	     1
20250801;	160409;	1754044449.000;	           5;	     1
20250801;	160412;	1754044452.000;	           5;	     1
