#ies_format_version: 1.0
#file: 20250801_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device_A_31
20250801;	162911;	1754045951.000;	           9
20250801;	162912;	1754045952.000;	           9
20250801;	162913;	1754045953.000;	           9
20250801;	162914;	1754045954.000;	           9
20250801;	162915;	1754045955.000;	           9
20250801;	162916;	1754045956.000;	           9
20250801;	162917;	1754045957.000;	           9
20250801;	162918;	1754045958.000;	           9
20250801;	162919;	1754045959.000;	           9
20250801;	162920;	1754045960.000;	           9
20250801;	162921;	1754045961.000;	           9
20250801;	162922;	1754045962.000;	           9
20250801;	162923;	1754045963.000;	           9
20250801;	162924;	1754045964.000;	           9
20250801;	162925;	1754045965.000;	           9
20250801;	162926;	1754045966.000;	           9
20250801;	162927;	1754045967.000;	           9
20250801;	162928;	1754045968.000;	           9
20250801;	162929;	1754045969.000;	           9
20250801;	162930;	1754045970.000;	           9
20250801;	162931;	1754045971.000;	           9
20250801;	162932;	1754045972.000;	           9
20250801;	162933;	1754045973.000;	           9
20250801;	162934;	1754045974.000;	           9
20250801;	162935;	1754045975.000;	           9
20250801;	162936;	1754045976.000;	           9
20250801;	162937;	1754045977.000;	           9
20250801;	162938;	1754045978.000;	           9
20250801;	162939;	1754045979.000;	           9
20250801;	162940;	1754045980.000;	           9
20250801;	162941;	1754045981.000;	           9
20250801;	162942;	1754045982.000;	           9
20250801;	162943;	1754045983.000;	           9
20250801;	162944;	1754045984.000;	           9
20250801;	162945;	1754045985.000;	           9
20250801;	162946;	1754045986.000;	           9
20250801;	162947;	1754045987.000;	           9
20250801;	162948;	1754045988.000;	           9
20250801;	162949;	1754045989.000;	           9
20250801;	162950;	1754045990.000;	           9
20250801;	162951;	1754045991.000;	           9
20250801;	162952;	1754045992.000;	           9
20250801;	162953;	1754045993.000;	           9
20250801;	162954;	1754045994.000;	           9
20250801;	162955;	1754045995.000;	           9
20250801;	162956;	1754045996.000;	           9
20250801;	162957;	1754045997.000;	           9
20250801;	162958;	1754045998.000;	           9
