#ies_format_version: 1.0
#file: 20250721_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	mdevice1_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	mdevice1_A_18
20250721;	124602;	1753082162.000;	       err11
20250721;	124603;	1753082163.000;	       err11
20250721;	124604;	1753082164.000;	       err11
20250721;	124605;	1753082165.000;	       err11
20250721;	124606;	1753082166.000;	       err11
20250721;	124607;	1753082167.000;	       err11
20250721;	124608;	1753082168.000;	       err11
20250721;	124609;	1753082169.000;	       err11
20250721;	124610;	1753082170.000;	       err11
20250721;	124611;	1753082171.000;	       err11
20250721;	124612;	1753082172.000;	       err11
20250721;	124613;	1753082173.000;	       err11
20250721;	124614;	1753082174.000;	       err11
20250721;	124615;	1753082175.000;	       err11
20250721;	124616;	1753082176.000;	       err11
20250721;	124617;	1753082177.000;	       err11
20250721;	124618;	1753082178.000;	       err11
20250721;	124619;	1753082179.000;	       err11
20250721;	124620;	1753082180.000;	       err11
20250721;	124621;	1753082181.000;	       err11
20250721;	124622;	1753082182.000;	       err11
20250721;	124623;	1753082183.000;	       err11
20250721;	124624;	1753082184.000;	       err11
20250721;	124625;	1753082185.000;	       err11
20250721;	124626;	1753082186.000;	       err11
20250721;	124627;	1753082187.000;	       err11
20250721;	124628;	1753082188.000;	       err11
20250721;	124629;	1753082189.000;	       err11
20250721;	124630;	1753082190.000;	       err11
20250721;	124631;	1753082191.000;	       err11
20250721;	124632;	1753082192.000;	       err11
20250721;	124633;	1753082193.000;	       err11
20250721;	124634;	1753082194.000;	       err11
20250721;	124635;	1753082195.000;	       err11
20250721;	124636;	1753082196.000;	       err11
20250721;	124637;	1753082197.000;	       err11
20250721;	124638;	1753082198.000;	       err11
20250721;	124639;	1753082199.000;	       err11
20250721;	124640;	1753082200.000;	       err11
20250721;	124641;	1753082201.000;	       err11
20250721;	124642;	1753082202.000;	       err11
20250721;	124643;	1753082203.000;	       err11
20250721;	124644;	1753082204.000;	       err11
20250721;	124645;	1753082205.000;	       err11
20250721;	124646;	1753082206.000;	       err11
20250721;	124647;	1753082207.000;	       err11
20250721;	124648;	1753082208.000;	       err11
20250721;	124649;	1753082209.000;	       err11
20250721;	124650;	1753082210.000;	       err11
20250721;	124651;	1753082211.000;	       err11
20250721;	124652;	1753082212.000;	       err11
20250721;	124653;	1753082213.000;	       err11
20250721;	124654;	1753082214.000;	       err11
20250721;	124655;	1753082215.000;	       err11
20250721;	124656;	1753082216.000;	       err11
20250721;	124657;	1753082217.000;	       err11
20250721;	124658;	1753082218.000;	       err11
20250721;	124659;	1753082219.000;	       err11
20250721;	124700;	1753082220.000;	       err11
20250721;	124701;	1753082221.000;	       err11
20250721;	124702;	1753082222.000;	       err11
20250721;	124703;	1753082223.000;	       err11
20250721;	124704;	1753082224.000;	       err11
20250721;	124705;	1753082225.000;	       err11
20250721;	124706;	1753082226.000;	       err11
20250721;	124707;	1753082227.000;	       err11
20250721;	124708;	1753082228.000;	       err11
20250721;	124709;	1753082229.000;	       err11
20250721;	124710;	1753082230.000;	       err11
20250721;	124711;	1753082231.000;	       err11
20250721;	124712;	1753082232.000;	       err11
20250721;	124713;	1753082233.000;	       err11
20250721;	124714;	1753082234.000;	       err11
20250721;	124715;	1753082235.000;	       err11
20250721;	124716;	1753082236.000;	       err11
20250721;	124717;	1753082237.000;	       err11
20250721;	124718;	1753082238.000;	       err11
20250721;	124719;	1753082239.000;	       err11
20250721;	124720;	1753082240.000;	       err11
20250721;	124721;	1753082241.000;	       err11
20250721;	124722;	1753082242.000;	       err11
20250721;	124723;	1753082243.000;	       err11
20250721;	124724;	1753082244.000;	       err11
20250721;	124725;	1753082245.000;	       err11
20250721;	124726;	1753082246.000;	       err11
20250721;	124727;	1753082247.000;	       err11
20250721;	124728;	1753082248.000;	       err11
20250721;	124729;	1753082249.000;	       err11
20250721;	124730;	1753082250.000;	       err11
20250721;	124731;	1753082251.000;	       err11
20250721;	124732;	1753082252.000;	       err11
20250721;	124733;	1753082253.000;	       err11
20250721;	124734;	1753082254.000;	       err11
20250721;	124735;	1753082255.000;	       err11
20250721;	124736;	1753082256.000;	       err11
20250721;	124737;	1753082257.000;	       err11
20250721;	124738;	1753082258.000;	       err11
20250721;	124739;	1753082259.000;	       err11
20250721;	124740;	1753082260.000;	       err11
20250721;	124741;	1753082261.000;	       err11
20250721;	124742;	1753082262.000;	       err11
20250721;	124743;	1753082263.000;	       err11
20250721;	124744;	1753082264.000;	       err11
20250721;	124745;	1753082265.000;	       err11
20250721;	124746;	1753082266.000;	       err11
20250721;	124747;	1753082267.000;	       err11
20250721;	124748;	1753082268.000;	       err11
20250721;	124749;	1753082269.000;	       err11
20250721;	124750;	1753082270.000;	       err11
20250721;	124751;	1753082271.000;	       err11
20250721;	124752;	1753082272.000;	       err11
20250721;	124753;	1753082273.000;	       err11
20250721;	124754;	1753082274.000;	       err11
20250721;	124755;	1753082275.000;	       err11
20250721;	124756;	1753082276.000;	       err11
20250721;	124757;	1753082277.000;	       err11
20250721;	124758;	1753082278.000;	       err11
20250721;	124759;	1753082279.000;	       err11
20250721;	124800;	1753082280.000;	       err11
20250721;	124801;	1753082281.000;	       err11
20250721;	124802;	1753082282.000;	       err11
20250721;	124803;	1753082283.000;	       err11
20250721;	124804;	1753082284.000;	       err11
20250721;	124805;	1753082285.000;	       err11
20250721;	124806;	1753082286.000;	       err11
20250721;	124807;	1753082287.000;	       err11
20250721;	124808;	1753082288.000;	       err11
20250721;	124809;	1753082289.000;	       err11
20250721;	124810;	1753082290.000;	       err11
20250721;	124811;	1753082291.000;	       err11
20250721;	124812;	1753082292.000;	       err11
20250721;	124813;	1753082293.000;	       err11
20250721;	124814;	1753082294.000;	       err11
20250721;	124815;	1753082295.000;	       err11
20250721;	124816;	1753082296.000;	       err11
20250721;	124817;	1753082297.000;	       err11
20250721;	124818;	1753082298.000;	       err11
20250721;	124819;	1753082299.000;	       err11
20250721;	124820;	1753082300.000;	       err11
20250721;	124821;	1753082301.000;	       err11
20250721;	124822;	1753082302.000;	       err11
20250721;	124823;	1753082303.000;	       err11
20250721;	124824;	1753082304.000;	       err11
20250721;	124825;	1753082305.000;	       err11
20250721;	124826;	1753082306.000;	       err11
20250721;	124827;	1753082307.000;	       err11
20250721;	124828;	1753082308.000;	       err11
20250721;	124829;	1753082309.000;	       err11
20250721;	124830;	1753082310.000;	       err11
20250721;	124831;	1753082311.000;	       err11
20250721;	124832;	1753082312.000;	       err11
20250721;	124833;	1753082313.000;	       err11
20250721;	124834;	1753082314.000;	       err11
20250721;	124835;	1753082315.000;	       err11
20250721;	124836;	1753082316.000;	       err11
20250721;	124837;	1753082317.000;	       err11
20250721;	124838;	1753082318.000;	       err11
20250721;	124839;	1753082319.000;	       err11
20250721;	124840;	1753082320.000;	       err11
20250721;	124841;	1753082321.000;	       err11
20250721;	124842;	1753082322.000;	       err11
20250721;	124843;	1753082323.000;	       err11
20250721;	124844;	1753082324.000;	       err11
20250721;	124845;	1753082325.000;	       err11
20250721;	124846;	1753082326.000;	       err11
20250721;	124847;	1753082327.000;	       err11
20250721;	124848;	1753082328.000;	       err11
20250721;	124849;	1753082329.000;	       err11
20250721;	124850;	1753082330.000;	       err11
20250721;	124851;	1753082331.000;	       err11
20250721;	124852;	1753082332.000;	       err11
20250721;	124853;	1753082333.000;	       err11
20250721;	124854;	1753082334.000;	       err11
20250721;	124855;	1753082335.000;	       err11
20250721;	124856;	1753082336.000;	       err11
20250721;	124857;	1753082337.000;	       err11
20250721;	124858;	1753082338.000;	       err11
20250721;	124859;	1753082339.000;	       err11
20250721;	124900;	1753082340.000;	       err11
20250721;	124901;	1753082341.000;	       err11
20250721;	124902;	1753082342.000;	       err11
20250721;	124903;	1753082343.000;	       err11
20250721;	124904;	1753082344.000;	       err11
20250721;	124905;	1753082345.000;	       err11
20250721;	124906;	1753082346.000;	       err11
20250721;	124907;	1753082347.000;	       err11
20250721;	124908;	1753082348.000;	       err11
20250721;	124909;	1753082349.000;	       err11
