#ies_format_version: 1.0
#file: 20250729_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250729;	193642;	1753798002.000;	     1;	     1
20250729;	193645;	1753798005.000;	     1;	     1
20250729;	193648;	1753798008.000;	     1;	     1
20250729;	193651;	1753798011.000;	     1;	     1
20250729;	193654;	1753798014.000;	     1;	     1
20250729;	193657;	1753798017.000;	     1;	     1
20250729;	193700;	1753798020.000;	     1;	     1
20250729;	193703;	1753798023.000;	     1;	     1
20250729;	193706;	1753798026.000;	     1;	     1
20250729;	193709;	1753798029.000;	     1;	     1
20250729;	193712;	1753798032.000;	     1;	     1
20250729;	193715;	1753798035.000;	     1;	     1
20250729;	193718;	1753798038.000;	     1;	     1
20250729;	193721;	1753798041.000;	     1;	     1
20250729;	193724;	1753798044.000;	     1;	     1
20250729;	193727;	1753798047.000;	     1;	     1
20250729;	193730;	1753798050.000;	     1;	     1
20250729;	193733;	1753798053.000;	     1;	     1
20250729;	193736;	1753798056.000;	     1;	     1
20250729;	193739;	1753798059.000;	     1;	     1
20250729;	193742;	1753798062.000;	     1;	     1
20250729;	193745;	1753798065.000;	     1;	     1
20250729;	193748;	1753798068.000;	     1;	     1
20250729;	193751;	1753798071.000;	     1;	     1
20250729;	193754;	1753798074.000;	     1;	     1
20250729;	193757;	1753798077.000;	     1;	     1
20250729;	193800;	1753798080.000;	     1;	     1
20250729;	193803;	1753798083.000;	     1;	     1
