#ies_format_version: 1.0
#file: 20250721_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250721;	172740;	1753099060.000;	        err9
20250721;	172742;	1753099062.000;	        err9
20250721;	172744;	1753099064.000;	        err9
20250721;	172746;	1753099066.000;	        err9
20250721;	172748;	1753099068.000;	        err9
20250721;	172750;	1753099070.000;	        err9
20250721;	172752;	1753099072.000;	        err9
20250721;	172754;	1753099074.000;	        err9
20250721;	172756;	1753099076.000;	        err9
20250721;	172758;	1753099078.000;	        err9
20250721;	172800;	1753099080.000;	        err9
20250721;	172802;	1753099082.000;	        err9
20250721;	172804;	1753099084.000;	        err9
20250721;	172806;	1753099086.000;	        err9
20250721;	172808;	1753099088.000;	        err9
20250721;	172810;	1753099090.000;	        err9
20250721;	172812;	1753099092.000;	        err9
20250721;	172814;	1753099094.000;	        err9
20250721;	172816;	1753099096.000;	        err9
20250721;	172818;	1753099098.000;	        err9
20250721;	172820;	1753099100.000;	        err9
20250721;	172822;	1753099102.000;	        err9
20250721;	172824;	1753099104.000;	        err9
20250721;	172826;	1753099106.000;	        err9
20250721;	172828;	1753099108.000;	        err9
20250721;	172830;	1753099110.000;	        err9
20250721;	172832;	1753099112.000;	        err9
20250721;	172834;	1753099114.000;	        err9
20250721;	172836;	1753099116.000;	        err9
20250721;	172838;	1753099118.000;	        err9
20250721;	172840;	1753099120.000;	        err9
20250721;	172842;	1753099122.000;	        err9
20250721;	172844;	1753099124.000;	        err9
20250721;	172846;	1753099126.000;	        err9
20250721;	172848;	1753099128.000;	        err9
20250721;	172850;	1753099130.000;	        err9
20250721;	172852;	1753099132.000;	        err9
20250721;	172854;	1753099134.000;	        err9
20250721;	172856;	1753099136.000;	        err9
20250721;	172858;	1753099138.000;	        err9
20250721;	172900;	1753099140.000;	        err9
20250721;	172902;	1753099142.000;	        err9
20250721;	172904;	1753099144.000;	        err9
20250721;	172906;	1753099146.000;	        err9
20250721;	172908;	1753099148.000;	        err9
20250721;	172910;	1753099150.000;	        err9
20250721;	172912;	1753099152.000;	        err9
20250721;	172914;	1753099154.000;	        err9
20250721;	172916;	1753099156.000;	        err9
20250721;	172918;	1753099158.000;	        err9
20250721;	172920;	1753099160.000;	        err9
20250721;	172922;	1753099162.000;	        err9
20250721;	172924;	1753099164.000;	        err9
20250721;	172926;	1753099166.000;	        err9
20250721;	172928;	1753099168.000;	        err9
20250721;	172930;	1753099170.000;	        err9
20250721;	172932;	1753099172.000;	        err9
20250721;	172934;	1753099174.000;	        err9
20250721;	172936;	1753099176.000;	        err9
20250721;	172938;	1753099178.000;	        err9
20250721;	172940;	1753099180.000;	        err9
20250721;	172942;	1753099182.000;	        err9
20250721;	172944;	1753099184.000;	        err9
20250721;	172946;	1753099186.000;	        err9
20250721;	172948;	1753099188.000;	        err9
20250721;	172950;	1753099190.000;	       err32
20250721;	172952;	1753099192.000;	       err32
20250721;	172954;	1753099194.000;	       err32
20250721;	172956;	1753099196.000;	       err32
20250721;	172958;	1753099198.000;	       err32
20250721;	173000;	1753099200.000;	       err32
20250721;	173002;	1753099202.000;	        err8
20250721;	173004;	1753099204.000;	           0
20250721;	173006;	1753099206.000;	           0
20250721;	173008;	1753099208.000;	           0
20250721;	173010;	1753099210.000;	           0
20250721;	173012;	1753099212.000;	           0
20250721;	173014;	1753099214.000;	           0
20250721;	173016;	1753099216.000;	           0
20250721;	173018;	1753099218.000;	           0
20250721;	173020;	1753099220.000;	           0
20250721;	173022;	1753099222.000;	           0
20250721;	173024;	1753099224.000;	           0
20250721;	173026;	1753099226.000;	           0
20250721;	173028;	1753099228.000;	           0
20250721;	173030;	1753099230.000;	           0
20250721;	173032;	1753099232.000;	           0
20250721;	173034;	1753099234.000;	           0
20250721;	173036;	1753099236.000;	           0
20250721;	173038;	1753099238.000;	           0
20250721;	173040;	1753099240.000;	           0
20250721;	173042;	1753099242.000;	           0
20250721;	173044;	1753099244.000;	           0
20250721;	173046;	1753099246.000;	           0
20250721;	173048;	1753099248.000;	           0
20250721;	173050;	1753099250.000;	           0
20250721;	173052;	1753099252.000;	           0
20250721;	173054;	1753099254.000;	           0
20250721;	173056;	1753099256.000;	           0
20250721;	173058;	1753099258.000;	           0
20250721;	173100;	1753099260.000;	           0
20250721;	173102;	1753099262.000;	           0
20250721;	173104;	1753099264.000;	           0
20250721;	173106;	1753099266.000;	           0
20250721;	173108;	1753099268.000;	           0
20250721;	173110;	1753099270.000;	           0
20250721;	173112;	1753099272.000;	           0
20250721;	173114;	1753099274.000;	           0
20250721;	173116;	1753099276.000;	           0
20250721;	173118;	1753099278.000;	           0
20250721;	173120;	1753099280.000;	           0
20250721;	173122;	1753099282.000;	           0
20250721;	173124;	1753099284.000;	           0
20250721;	173126;	1753099286.000;	           0
20250721;	173128;	1753099288.000;	           0
20250721;	173130;	1753099290.000;	           0
20250721;	173132;	1753099292.000;	           0
20250721;	173134;	1753099294.000;	           0
20250721;	173136;	1753099296.000;	           0
20250721;	173138;	1753099298.000;	           0
20250721;	173140;	1753099300.000;	           0
20250721;	173142;	1753099302.000;	           0
20250721;	173144;	1753099304.000;	           0
20250721;	173146;	1753099306.000;	           0
20250721;	173148;	1753099308.000;	           0
20250721;	173150;	1753099310.000;	           0
20250721;	173152;	1753099312.000;	           0
20250721;	173154;	1753099314.000;	           0
20250721;	173156;	1753099316.000;	           0
20250721;	173158;	1753099318.000;	           0
20250721;	173200;	1753099320.000;	           0
20250721;	173202;	1753099322.000;	           0
20250721;	173204;	1753099324.000;	           0
20250721;	173206;	1753099326.000;	           0
20250721;	173208;	1753099328.000;	           0
20250721;	173210;	1753099330.000;	           0
20250721;	173212;	1753099332.000;	           0
20250721;	173214;	1753099334.000;	           0
20250721;	173216;	1753099336.000;	           0
20250721;	173218;	1753099338.000;	           0
20250721;	173220;	1753099340.000;	           0
20250721;	173222;	1753099342.000;	           0
20250721;	173224;	1753099344.000;	           0
20250721;	173226;	1753099346.000;	           0
20250721;	173228;	1753099348.000;	           0
20250721;	173230;	1753099350.000;	           0
20250721;	173232;	1753099352.000;	           0
20250721;	173234;	1753099354.000;	           0
20250721;	173236;	1753099356.000;	           0
20250721;	173238;	1753099358.000;	           0
20250721;	173240;	1753099360.000;	           0
20250721;	173242;	1753099362.000;	           0
20250721;	173244;	1753099364.000;	           0
20250721;	173246;	1753099366.000;	           0
20250721;	173248;	1753099368.000;	           0
20250721;	173250;	1753099370.000;	           0
20250721;	173252;	1753099372.000;	           0
20250721;	173254;	1753099374.000;	           0
20250721;	173256;	1753099376.000;	           0
20250721;	173258;	1753099378.000;	           0
20250721;	173300;	1753099380.000;	           0
20250721;	173302;	1753099382.000;	           0
20250721;	173304;	1753099384.000;	           0
20250721;	173306;	1753099386.000;	           0
20250721;	173308;	1753099388.000;	           0
20250721;	173310;	1753099390.000;	           0
20250721;	173312;	1753099392.000;	           0
20250721;	173314;	1753099394.000;	           0
20250721;	173316;	1753099396.000;	           0
20250721;	173318;	1753099398.000;	           0
20250721;	173320;	1753099400.000;	           0
20250721;	173322;	1753099402.000;	           0
20250721;	173324;	1753099404.000;	           0
20250721;	173326;	1753099406.000;	           0
20250721;	173328;	1753099408.000;	           0
20250721;	173330;	1753099410.000;	           0
20250721;	173332;	1753099412.000;	           0
20250721;	173334;	1753099414.000;	           0
20250721;	173336;	1753099416.000;	           0
20250721;	173338;	1753099418.000;	           0
20250721;	173340;	1753099420.000;	           0
20250721;	173342;	1753099422.000;	           0
20250721;	173344;	1753099424.000;	           0
20250721;	173346;	1753099426.000;	           0
20250721;	173348;	1753099428.000;	           0
20250721;	173350;	1753099430.000;	           0
20250721;	173352;	1753099432.000;	           0
20250721;	173354;	1753099434.000;	           0
20250721;	173356;	1753099436.000;	           0
20250721;	173358;	1753099438.000;	           0
20250721;	173400;	1753099440.000;	           0
20250721;	173402;	1753099442.000;	           0
20250721;	173404;	1753099444.000;	           0
20250721;	173406;	1753099446.000;	           0
20250721;	173408;	1753099448.000;	           0
20250721;	173410;	1753099450.000;	           0
20250721;	173412;	1753099452.000;	           0
20250721;	173414;	1753099454.000;	           0
20250721;	173416;	1753099456.000;	           0
20250721;	173418;	1753099458.000;	           0
20250721;	173420;	1753099460.000;	           0
20250721;	173422;	1753099462.000;	           0
20250721;	173424;	1753099464.000;	           0
20250721;	173426;	1753099466.000;	           0
20250721;	173428;	1753099468.000;	           0
20250721;	173430;	1753099470.000;	           0
20250721;	173432;	1753099472.000;	           0
20250721;	173434;	1753099474.000;	           0
20250721;	173436;	1753099476.000;	           0
20250721;	173438;	1753099478.000;	           0
20250721;	173440;	1753099480.000;	           0
20250721;	173442;	1753099482.000;	           0
20250721;	173444;	1753099484.000;	           0
20250721;	173446;	1753099486.000;	           0
20250721;	173448;	1753099488.000;	           0
20250721;	173450;	1753099490.000;	           0
20250721;	173452;	1753099492.000;	           0
20250721;	173454;	1753099494.000;	           0
20250721;	173456;	1753099496.000;	           0
20250721;	173458;	1753099498.000;	           0
20250721;	173500;	1753099500.000;	           0
20250721;	173502;	1753099502.000;	           0
20250721;	173504;	1753099504.000;	           0
20250721;	173506;	1753099506.000;	           0
20250721;	173508;	1753099508.000;	           0
20250721;	173510;	1753099510.000;	           0
20250721;	173512;	1753099512.000;	           0
20250721;	173514;	1753099514.000;	           0
20250721;	173516;	1753099516.000;	           0
20250721;	173518;	1753099518.000;	           0
20250721;	173520;	1753099520.000;	           0
20250721;	173522;	1753099522.000;	           0
20250721;	173524;	1753099524.000;	           0
20250721;	173526;	1753099526.000;	           0
20250721;	173528;	1753099528.000;	           0
20250721;	173530;	1753099530.000;	           0
20250721;	173532;	1753099532.000;	           0
20250721;	173534;	1753099534.000;	           0
20250721;	173536;	1753099536.000;	           0
20250721;	173538;	1753099538.000;	           0
20250721;	173540;	1753099540.000;	           0
20250721;	173542;	1753099542.000;	           0
20250721;	173544;	1753099544.000;	           0
20250721;	173546;	1753099546.000;	           0
20250721;	173548;	1753099548.000;	           0
20250721;	173550;	1753099550.000;	           0
20250721;	173552;	1753099552.000;	           0
20250721;	173554;	1753099554.000;	           0
20250721;	173556;	1753099556.000;	           0
20250721;	173558;	1753099558.000;	           0
20250721;	173600;	1753099560.000;	           0
20250721;	173602;	1753099562.000;	           0
20250721;	173604;	1753099564.000;	           0
20250721;	173606;	1753099566.000;	           0
20250721;	173608;	1753099568.000;	           0
20250721;	173610;	1753099570.000;	           0
20250721;	173612;	1753099572.000;	           0
20250721;	173614;	1753099574.000;	           0
20250721;	173616;	1753099576.000;	           0
20250721;	173618;	1753099578.000;	           0
20250721;	173620;	1753099580.000;	           0
20250721;	173622;	1753099582.000;	           0
20250721;	173624;	1753099584.000;	           0
20250721;	173626;	1753099586.000;	           0
20250721;	173628;	1753099588.000;	           0
20250721;	173630;	1753099590.000;	           0
20250721;	173632;	1753099592.000;	           0
20250721;	173634;	1753099594.000;	           0
20250721;	173636;	1753099596.000;	           0
20250721;	173638;	1753099598.000;	           0
20250721;	173640;	1753099600.000;	           0
20250721;	173642;	1753099602.000;	           0
20250721;	173644;	1753099604.000;	           0
20250721;	173646;	1753099606.000;	           0
20250721;	173648;	1753099608.000;	           0
20250721;	173650;	1753099610.000;	           0
20250721;	173652;	1753099612.000;	           0
20250721;	173654;	1753099614.000;	           0
20250721;	173656;	1753099616.000;	           0
20250721;	173658;	1753099618.000;	           0
20250721;	173700;	1753099620.000;	           0
20250721;	173702;	1753099622.000;	           0
20250721;	173704;	1753099624.000;	           0
20250721;	173706;	1753099626.000;	           0
20250721;	173708;	1753099628.000;	           0
20250721;	173710;	1753099630.000;	           0
20250721;	173712;	1753099632.000;	           0
20250721;	173714;	1753099634.000;	           0
20250721;	173716;	1753099636.000;	           0
20250721;	173718;	1753099638.000;	           0
20250721;	173720;	1753099640.000;	           0
20250721;	173722;	1753099642.000;	           0
20250721;	173724;	1753099644.000;	           0
20250721;	173726;	1753099646.000;	           0
20250721;	173728;	1753099648.000;	           0
20250721;	173730;	1753099650.000;	           0
20250721;	173732;	1753099652.000;	           0
20250721;	173734;	1753099654.000;	           0
20250721;	173736;	1753099656.000;	           0
