#ies_format_version: 1.0
#file: 20250718_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	test1_An_2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	test1_V_3;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#006;	test1_Vln_4;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#007;	test1_T_5;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	test1_An_2;	test1_V_3;	test1_Vln_4;	test1_T_5
20250718;	132515;	1752825315.000;	       err11;	       err11;	       err11;	       err11
20250718;	132518;	1752825318.000;	       err11;	       err11;	       err11;	       err11
20250718;	132521;	1752825321.000;	       err11;	       err11;	       err11;	       err11
20250718;	132524;	1752825324.000;	       err11;	       err11;	       err11;	       err11
20250718;	132527;	1752825327.000;	       err11;	       err11;	       err11;	       err11
20250718;	132530;	1752825330.000;	       err11;	       err11;	       err11;	       err11
20250718;	132533;	1752825333.000;	       err11;	       err11;	       err11;	       err11
20250718;	132536;	1752825336.000;	       err11;	       err11;	       err11;	       err11
20250718;	132539;	1752825339.000;	       err11;	       err11;	       err11;	       err11
20250718;	132542;	1752825342.000;	       err11;	       err11;	       err11;	       err11
20250718;	132545;	1752825345.000;	       err11;	       err11;	       err11;	       err11
20250718;	132548;	1752825348.000;	       err11;	       err11;	       err11;	       err11
20250718;	132551;	1752825351.000;	       err11;	       err11;	       err11;	       err11
20250718;	132554;	1752825354.000;	       err11;	       err11;	       err11;	       err11
